Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
1961,9757.765,6577.131,1416.75,0.019,0,0,0.2,0,0.024183649031298365,0,0.06719367588932806,0,0.05,0.5720644428612864,0.7327707226412898,0.1867157979021039,0.37190012060970057
1962,6737.494,6511.198,1229.269,0.026,0,0,0.4,0,0.33703088349546106,0,0.06719367588932806,0,0.3,0.28841869317763874,0.8764244595300212,0.1867157979021039,0.37178617679295944
1963,7834.0,5424.0,1436.0,0.005,0,0,0.2,0,0.012722357749369986,0,0.0,0,0.0,0.43103395344738515,-0.06848304705591274,0.17964990763046554,0.37159209134741383
1964,9739.973,6295.477,1498.0,0.188,1,0,0.4,0,0.4913265671479439,1,1.0,1,0.75,0.8666700379865794,1.056167858910218,0.722991173496274,0.3711151029684396
1965,7389.0,7344.0,1285.0,0.086,0,0,0.0,0,0.4202215238513959,1,0.8947368421052632,0,0.13,0.379401664951964,0.5118670271787691,0.6181337712268828,0.3697873670789623
1966,12184.714,9619.928,1349.43,0.236,1,0,0.4,1,0.7776184726191064,1,1.0,0,0.36,0.31706482263030994,-0.3669748620662473,0.1867157979021039,0.36974601830626463
1967,11973.089,10040.492,1363.75,0.01,0,0,0.0,0,4.457527549866632e-05,0,0.06719367588932806,0,0.2,0.29713755284451776,-0.6538044619880958,0.1867157979021039,0.36959890920848776
1968,6164.058,7410.504,1055.819,0.2,1,0,0.4,0,0.3286324285718311,1,0.8947368421052632,1,0.87,0.6745444617341543,0.9091386018722846,0.6181337712268828,0.3688360512897021
1969,4920.0,6466.0,1124.0,0.005,0,0,0.2,0,0.07685383714274413,0,0.0,0,0.03,0.37724538704467625,0.815482273911424,0.1867157979021039,0.3686244113271082
1970,10822.434,5812.74,1528.48,0.009,0,0,0.0,0,0.018235413633938102,0,0.0,0,0.02,0.38552378108909185,-0.10863868527685473,0.1867157979021039,0.3685663441729907
1971,5370.0,7897.0,616.0,0.013,0,0,0.4,0,0.12714584580147023,0,0.0,0,0.02,0.188184463422172,0.3334472067089824,0.1867157979021039,0.3663041751071751
1972,5382.0,6412.0,1267.0,0.0025,0,0,0.0,0,0.03617042744470737,0,0.0,0,0.05,0.24752605566394836,0.9942451824685641,0.555,0.3658550006260824
1973,13113.204,6579.749,1538.0,0.022,0,0,0.0,0,0.0013749840494222904,0,0.0,0,0.03,0.3879913368548482,-0.30361735192154593,0.1867157979021039,0.36476471744168837
1974,8163.037,6302.033,1422.299,0.171,1,0,0.2,0,0.14796126573065022,0,0.06719367588932806,1,0.58,0.24761183807440523,1.242959649992086,0.1867157979021039,0.3634763186725555
1975,9473.0,6468.0,1501.0,0.009,0,0,0.0,0,0.09749789029020718,0,0.06719367588932806,0,0.06,0.7556990079866456,0.49680733154245715,0.1867157979021039,0.3615817861128608
1976,7354.327,7341.923,1299.0,0.2,1,0,0.2,0,0.17800204645905687,1,0.8947368421052632,1,0.8,0.19556580700474452,0.6630341785394368,0.6181337712268828,0.36147794210040973
1977,4831.0,7511.0,557.0,0.023,0,0,0.0,0,0.018837141501747444,0,0.0,0,0.01,0.5977044246813168,-0.018480243400007864,0.1867157979021039,0.3605996677935061
1978,4982.0,6735.0,984.0,0.054,0,0,0.0,0,0.084320440477369,0,0.0,0,0.04,0.6603562144717818,0.44946794221665287,0.1867157979021039,0.36047410557608794
1979,7221.856,5251.294,1354.429,0.005,0,0,0.0,0,0.10723464103086748,0,0.06818181818181818,0,0.08,0.35117955735101714,0.6527159249222003,0.37251395480634897,0.36047135195519947
1980,7130.849,4715.697,1055.0,0.015,0,0,0.0,0,0.023678377312449587,0,0.06719367588932806,0,0.04,0.6456221221577562,0.8672060368755025,0.1867157979021039,0.3599342517462277
