Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
170,6359.0,7629.0,909.0,0.037,0,1,0.8,0,0.19915388352747126,0,0.06818181818181818,0,0.42,1.8544137167564863
171,8318.001,6855.961,1330.039,0.014,0,1,0.6,0,0.14961105951008258,0,0.03278688524590164,0,0.02,1.8544137167564863
172,6419.0,7850.0,899.0,11.494,1,1,0.8,0,0.42819266547110363,1,0.8947368421052632,1,0.56,1.8544137167564863
173,8181.0,6586.0,1404.0,0.0025,0,0,0.0,0,0.0019812296696285875,0,0.0,0,0.0,1.849936360214105
174,7190.329,3570.463,1262.249,4.25,1,1,1.0,1,0.9999999995843825,1,1.0,1,0.83,1.8496122186919581
175,5541.781,6837.542,1156.639,0.093,0,0,0.0,0,0.2663966480695584,0,0.06719367588932806,0,0.13,1.8466534236078929
176,7466.576,7548.027,1246.0,0.007,0,0,0.4,0,0.24311278667489164,0,0.06719367588932806,0,0.3,1.845259222705352
177,7040.0,7506.0,1176.0,0.0025,0,0,0.0,0,0.0030964259857566095,0,0.0,0,0.01,1.8381471809085652
178,9650.171,3166.114,1463.229,2.262,1,1,1.0,1,0.9999999999998295,1,1.0,1,0.72,1.8271566173738514
179,7570.82,7393.386,1226.0,0.007,0,0,0.2,1,0.5217922383440241,0,0.02702702702702703,0,0.06,1.8126621176540518
180,7826.0,7298.0,1201.0,0.011,0,0,0.2,0,0.1572829784513014,0,0.06818181818181818,0,0.0,1.8111008442597067
181,5716.123,7160.875,1038.02,0.438,1,0,0.4,0,0.3638676416997672,1,0.8947368421052632,1,0.87,1.8070057866872555
182,6498.297,7316.089,1082.0,0.561,1,0,0.4,0,0.2236644200117331,0,0.4666666666666667,1,0.89,1.8070057866872555
183,5260.0,6527.0,1154.0,0.056,0,0,0.0,0,0.13493196497933724,0,0.06719367588932806,0,0.06,1.8012739776727833
184,6846.961,7923.449,968.0,0.422,1,1,0.6,0,0.17139343947953137,0,0.03278688524590164,1,0.68,1.7897215104182582
185,6489.419,7447.858,1009.0,0.045,0,0,0.0,0,0.24388527176734698,0,0.38461538461538464,0,0.13,1.7849698260011517
186,9452.0,6471.0,1492.0,0.227,1,0,0.0,0,0.1310920022045788,0,0.06719367588932806,0,0.24,1.7614040882808446
187,10768.307,7215.64,1354.0,0.015,0,0,0.0,0,0.001992520429939659,0,0.0,0,0.01,1.7573839671442584
188,10810.244,7179.166,1360.29,0.0025,0,0,0.0,0,0.0326858610350258,0,0.0,0,0.0,1.7570479619914274
189,6310.0,7611.0,943.0,0.028,0,0,0.2,0,0.17819027059005704,0,0.07142857142857142,0,0.24,1.7570479619914274
